O(1),O(log n),O(n),O(n lg n),O(n^2),O(2^n),O(n!),O(n^n)
1,0.0,1,0.0,1,2,1,1
1,1.0,2,2.0,4,4,2,4
1,1.58,3,4.74,9,8,6,27
1,2.0,4,8.0,16,16,24,256
1,2.32,5,11.6,25,32,120,3125
1,2.58,6,15.48,36,64,720,46656
1,2.81,7,19.67,49,128,5040,823543
1,3.0,8,24.0,64,256,40320,16777216
1,3.17,9,28.53,81,512,362880,387420489
1,3.32,10,33.2,100,1024,3628800,10000000000
1,3.46,11,38.06,121,2048,39916800,285311670611
1,3.58,12,42.96,144,4096,479001600,8916100448256
1,3.7,13,48.1,169,8192,6227020800,302875106592253
1,3.81,14,53.34,196,16384,87178291200,11112006825558016
1,3.91,15,58.65,225,32768,1307674368000,437893890380859392
1,4.0,16,64.0,256,65536,20922789888000,18446744073709551616
1,4.09,17,69.53,289,131072,355687428096000,827240261886336827392
1,4.17,18,75.06,324,262144,6402373705728000,39346408075296541507584
1,4.25,19,80.75,361,524288,121645100408832000,1978419655660313627328512
